"track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genero","playlist_subgenero","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"0013rDAvcGpsXhHyJkAfi2","Eternity","Calivania",39,"6MQeqXw9V1TmwvQRmZCSfP","SKINS","2022-06-10","Trap Nation","0NCspsyf0OS4BsPgGhkQXM","rap","trap",0.517,0.679,1,-3.581,1,0.111,0.155,0.0063,0.0911,0.121,149.989,185825
"008aqmngiiKe5jrPSNyV6n","G Wagon","Ozuna",64,"7CSrNfB7tAWOMcvqv8r3rq","G Wagon","2022-03-10","Trap Land","37i9dQZF1DXde9tuMHuIsj","rap","trap",0.732,0.525,7,-5.888,0,0.0839,0.0645,0.0000719,0.186,0.732,160.102,209681
"00cP5rqzL6ZrwMaqTEeGIN","Hard To See","Five Finger Death Punch",0,"6GlsmhwCxNCEmW8v2YVPRN","War Is The Answer","2009-01-01","Hard Rock Training/Workout","0Bosi20LaeNMbimMkpBwjU","rock","hard rock",0.513,0.976,11,-3.117,1,0.17,0.00000462,0.00034,0.117,0.133,111.992,209493
"00hdjyXt6MohKnCyDmhxOL","Una Vaina Loca","Fuego",0,"01nV3KuocS1NJHTsJbPkTO","Una Vaina Loca","2011-11-02","Perreo Workout","37i9dQZF1DX9ZKyQHcEFXZ","latin","reggaeton",0.794,0.882,1,-5.589,1,0.0361,0.114,0.0000798,0.062,0.642,117.009,188213
"00HG0BYPrRQQ5S7HVhVNSy","Tums","TNGHT",43,"71faAIel0uVhPSmu8VJcj7","Tums","2021-11-04","Trap Mojito","37i9dQZF1DX1OIMC8iDi74","rap","trap",0.621,0.628,8,-4.687,0,0.0842,0.00347,0.546,0.704,0.542,166.084,217000
"00HU2RYUeBcOVJPbdOtdJ2","atravesao","Elsa y Elmar",55,"2NQf4yrGL2SCUFvOYIKdFr","atravesao","2022-01-27","Tropical Hits","37i9dQZF1DWYey22ryYM8U","latin","tropical",0.916,0.529,0,-5.121,0,0.0563,0.369,0.00000511,0.0872,0.833,121.946,200510
"00i2HU7TEzzftShjRrDSEF","Changes","2Pac",68,"4Y9ISbppFbwk0r1XCLUi0I","The Best of 2Pac","2007-12-03","Hip-Hop Classics Party","37i9dQZF1DXbkfWVLd8wE3","rap","hip hop",0.865,0.657,7,-6.722,1,0.076,0.0404,0,0.14,0.316,111.115,268960
"00QctTgvparNNWBckHPy6b","By My Side","Aekae",34,"0QCWRcBWvAqXjAHh0tFQkP","By My Side","2022-06-03","Trap Nation","0NCspsyf0OS4BsPgGhkQXM","rap","trap",0.463,0.989,11,-3.248,0,0.0517,0.00333,0.798,0.1,0.481,139.979,198857
"00qOE7OjRl0BpYiCiweZB2","Juke Box Hero","Foreigner",70,"2Pw51hAGvWpTA3AYl2WVuu","4 (Expanded)","1981","Classic Rock Drive","37i9dQZF1DXdOEFt9ZX0dh","rock","classic rock",0.357,0.653,9,-5.554,1,0.0654,0.0828,0,0.0844,0.522,176.647,259800
"00Qt1c8zamewy9XXUWwm7P","Rakata - Remix","Wisin & Yandel",46,"3TheioK614VC2aRMhfKS6h","Pa'l Mundo","2005-11-08","REGGAETON VIEJITO","6GIsLGY639AcJmgSfhQx7C","latin","reggaeton",0.874,0.819,1,-5.566,1,0.292,0.123,0,0.185,0.785,96.018,211187
"00ReeHCY0FQUyuAUyPJdnk","Ain't No Future In Yo' Frontin'","MC Breed",51,"7mLks5uEIPmT0056mb5oV3","MC Breed & DFC","1991-01-01","Hip hop BBQ radio","58ffpw3vZbjG15BzRpeqyI","rap","hip hop",0.672,0.761,0,-9.644,1,0.248,0.0514,0,0.474,0.731,102.192,244733
"00Ro1lnV3V6i87aY4t8Q43","La rebelion","Joe Arroyo",2,"4168LZnMKT5rgITtNBbo5z","Sabor a Salsa","2007-05-12","Verano Tropical","37i9dQZF1DX7OHJr8lBfqY","latin","tropical",0.571,0.755,1,-7.907,1,0.0735,0.142,0.0000255,0.136,0.875,107.951,376013
"00z5KWrilqKSm0WabzZAxw","Fantasy","Yonexx",39,"5rQLjVsb4tb1eTMHGqOts5","Fantasy","2022-05-27","Trap nation top 100","1nuylYX4ssCzNAUaaMFwLj","rap","trap",0.291,0.87,4,-3.527,0,0.108,0.0442,0.00403,0.523,0.126,149.391,188800
"011gUcrvLDn2gEApOdOhVe","Been A While","Sam Feldt",0,"4f99odoYED4w3X3EgMrjYG","Been A While","2016-02-05","TROPICAL HOUSE CLASSICS","5WTdHhrKAxeUUDgnKG2Jcj","latin","tropical",0.779,0.695,1,-6.064,0,0.031,0.425,0.000769,0.107,0.392,120.004,163527
"01daSGcNfdZvpVMtrr7qg6","See You","Fabio Vee",26,"1FM9pjg7xRhI297RKGAydI","See You","2018-06-25","Tropical Chill 2022","2eHVGSeVRa4NSrtsNljEr9","latin","tropical",0.669,0.746,0,-6.385,0,0.0329,0.644,0.78,0.0735,0.203,120.017,328000
"01dPcsbep0CGpj4VZ2OWKc","Dismantled","Icon For Hire",51,"2pJDgYFNu0Qu1FgNDMDa9T","Dismantled","2022-06-16","Rock Hard","37i9dQZF1DWWJOmJ7nRx0C","rock","hard rock",0.553,0.736,8,-3.669,1,0.039,0.000522,0.000702,0.106,0.393,90.019,191467
"01EzG8Qg7oQqYMTNV5YkOW","Cochinae","Julianno Sosa",84,"0IzxRY3FGPo3sB8kLrNMCU","Querian Perreo?","2022-04-19","Baila Reggaeton","37i9dQZF1DWY7IeIP1cdjF","latin","reggaeton",0.855,0.72,6,-7.953,1,0.0516,0.0626,0.0187,0.268,0.948,97.984,200816
"01Mpj13vURSO3cCLprPt5T","Raining Blood","Slayer",63,"2DumvqHl78bNXuvU9kQfPN","Reign In Blood","1986-01-01","Hard Rock /Metal","1GXRoQWlxTNQiMNkOe7RqA","rock","hard rock",0.294,0.995,1,-4.383,0,0.168,0.000489,0.331,0.128,0.0379,88.777,254400
"01QNJZhCL2mqc1425ecT0C","Killers - 1998 Remastered Version","Iron Maiden",0,"1pEuH3pCpd42YGAmxEkSkM","Killers (1998 Remastered Edition)","1981-02-02","Hard Rock /Metal","1GXRoQWlxTNQiMNkOe7RqA","rock","hard rock",0.229,0.926,9,-6.493,1,0.0945,0.0043,0.00176,0.0602,0.407,87.373,301893
"01R0Xdwje645C6xFCnMRvm","Talk Dirty To Me","Poison",52,"0xOBnypzEh4WKROJ51LL09","Look What The Cat Dragged In","1986-01-01","Classic Rock 60's, 70's, 80's","7ryj1GwAWYUY36VQd4uXoq","rock","classic rock",0.507,0.804,11,-13.267,1,0.044,0.0211,0.00248,0.381,0.708,157.996,223960
"01R0Xdwje645C6xFCnMRvm","Talk Dirty To Me","Poison",52,"0xOBnypzEh4WKROJ51LL09","Look What The Cat Dragged In","1986-01-01","Hard Rock Classics","5cwIrjOMWTiGCYB5Z9oQix","rock","hard rock",0.507,0.804,11,-13.267,1,0.044,0.0211,0.00248,0.381,0.708,157.996,223960
"01T4PnrdCrMwZcWWqa0rFt","Found Somebody","SHIVAN",42,"0szRlfNjGoHGwOkWXwUpJc","Found Somebody","2021-04-09","Tropical House 🏝 hits 2022 tropical house","2SRbIs0eBQwHeTP7kErjwo","latin","tropical",0.729,0.771,4,-5.671,0,0.0607,0.219,0.00000578,0.114,0.319,125.037,207356
"01UYpHuzHi4eB9PAbDoPY2","Summer Breeze","Seals and Crofts",66,"4dkdQY484elFRfcVNY6uzj","Seals & Crofts' Greatest Hits","1972","Yacht Rock Classics","4J2R4B8QKsIMLvqMTW2WLs","rock","classic rock",0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480
"01vHGJRvJ6EZW9KO8NtZpi","Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)","Maluma",66,"4TxYVUplaWuhJrVmW1O5Zt","Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)","2016-11-16","Trap Classics","37i9dQZF1DX9ru0ROInnew","rap","trap",0.811,0.681,6,-4.715,0,0.0712,0.673,0,0.636,0.468,134.062,306373
"01XFgRZfZI7oBagNf1Loml","Harlem Shake","Baauer",59,"5H0yFEG5FT0tccZRSdNvVU","Harlem Shake","2013-02-12","Trap Mojito","37i9dQZF1DX1OIMC8iDi74","rap","trap",0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664
"01YGmszYuYM81hYrXNBZyT","I'll Be There For You/You're All I Need To Get By","Method Man",0,"3qTqPnKUJixgfnsYia24oE","Tical","1994-11-15","90s Hip Hop Party","4nZCoj32S7JoRwwMNvMco0","rap","hip hop",0.716,0.674,4,-8.639,0,0.0502,0.161,0.0000518,0.332,0.649,95.013,309227
"01ZepwW5W3Z4fwl4bzaHyY","Kick It In The Sticks","Brantley Gilbert",61,"3yWeEEaC5xs7FgzwRgjm1p","Halfway To Heaven (Deluxe Edition)","2010","Hard Rockin' Country","0ue8LUEREzXBZK7nB0zF2v","rock","hard rock",0.493,0.843,8,-5.924,0,0.0707,0.00507,0,0.13,0.523,158.028,225747
"023NQXeakZ7eyE6ja19qMa","Chilling","Oshóva",25,"40vxfyPQazbRFQstDjtlb7","Chilling","2016-09-17","Tropical House Instrumental","1Sgey3t1a9n56NpxRzLGmG","latin","tropical",0.671,0.621,0,-7.404,1,0.0609,0.0391,0.0101,0.363,0.494,99.974,175243
"02a3YjaSKk3KZxK5mMnSW1","Culo Remix","Pitbull",54,"0gayfOCt1DJX4j8MOhv7we","Money Is Still A Major Issue","2005","REGGAETON VIEJITO","6GIsLGY639AcJmgSfhQx7C","latin","reggaeton",0.873,0.641,11,-9.197,0,0.154,0.0609,0,0.0989,0.832,119.971,240133
"02BDSCfu9jBYvJ8LkUVttD","Hi Life","UGK",42,"4jTPQq9PSlKMOm1yLx2ATN","Ridin' Dirty","1996-07-30","trap🧟‍♀️","2imeRmIXuWrfShoISZvmrX","rap","trap",0.663,0.606,5,-7.552,1,0.203,0.579,0,0.217,0.613,79.721,325373
"02BsTeJE4q5gWOTt58ur5U","I Can't Tell You Why - 2013 Remaster","Eagles",64,"1sW1HxI9VppbiXqgFQHVCP","The Long Run (2013 Remaster)","1979","Yacht Rock Classics","4J2R4B8QKsIMLvqMTW2WLs","rock","classic rock",0.707,0.346,11,-12.397,0,0.0251,0.69,0.145,0.1,0.49,85.094,295050
"02DurCgOvDdX0uKEjqcl3W","Who Are You","The Who",0,"2Qq60yedIbueTu5Sgn2bfL","Who Are You","1978-08-18","Classic Rock #1 Hits","3DYUw0nHB9o8tLZKQup4zp","rock","classic rock",0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32,381627
"02GwPAncasVL82yC7y2hmN","Raise Up","Petey Pablo",56,"5HRSHdifYk7QXStjKB0SJZ","Diary of a Sinner: 1st Entry","2001","2000s Hip-Hop Retrogamer","5dBbja1fYohcz7JUXJiyhM","rap","hip hop",0.735,0.844,1,-5.215,1,0.167,0.142,0,0.319,0.742,156.069,286427
"02hyDMBvUTU0ATb7RS6dmg","Las Puertas del Cielo","Manny Cruz",49,"7tn2Du0ZolY76WSl9aMwF7","Las Puertas del Cielo","2021-01-29","Tropical Hits","37i9dQZF1DWYey22ryYM8U","latin","tropical",0.857,0.758,4,-3.976,0,0.0666,0.364,0,0.124,0.883,127.051,232803
"02mhtclidb7Jpf1gwEasJh","Barranquilla Bajo Cero","Beéle",74,"0TDGIoXeKDPhp1LpU4RMvf","Barranquilla Bajo Cero","2022-05-27","REGGAETON NUEVO🔥 2022-LO MÁS NUEVO 2021","1vF8bpdC2XZMQ2wPTsRJVy","latin","reggaeton",0.838,0.722,9,-6.245,1,0.234,0.0656,0,0.0712,0.749,80.987,246215
"02N5d3o30MRDCfUwf6MEIH","Gone Get It","Lost Heroes",36,"3iIs3e2NGVwTFQyrCF86Lx","Gone Get It","2022-04-20","TRAP WORKOUT / AGGRESSIVE BASS","3i27pZJXTon1DDWfuMu3p9","rap","trap",0.372,0.872,1,-5.318,1,0.431,0.0206,0.00201,0.491,0.496,102.511,169251
"02p3SB7cipcWK3STz7aLbK","Best of Us","Dirty Heads",52,"3qg7pFyj6gbNVDtbi9aZHY","Cabin By the Sea","2012-06-19","Island Vibes 🏝️","4B2lrMRvAnzWYeFGchNEGC","latin","tropical",0.74,0.703,9,-7.663,1,0.0543,0.17,0,0.17,0.961,81.984,187064
"02pf9lLM8Nb8l4u4ts1GWb","My Nigga","YG",1,"4F6GGyqtJoF4EOxDgsKzsB","My Krazy Life (Deluxe)","2014-01-01","2010s TRAP music 🤑💵","0vTKa4BeT8F1iU3lv0qYR0","rap","trap",0.673,0.464,10,-6.864,0,0.201,0.0933,0,0.21,0.762,171.043,235600
"02WDt2eCNOU2mt0DF5w678","Heavy (with Lil Uzi Vert)","Nigo",66,"2RADneMo8givvCbM6k6yPR","Heavy","2022-03-18","Hip Hop Controller","37i9dQZF1DWT5MrZnPU1zD","rap","hip hop",0.677,0.558,8,-7.681,1,0.177,0.167,0,0.365,0.384,144.485,200426
"02WDt2eCNOU2mt0DF5w678","Heavy (with Lil Uzi Vert)","Nigo",66,"2RADneMo8givvCbM6k6yPR","Heavy","2022-03-18","Trap 2022 😈🔥💯","68PbMiU12ssvm5UAHsqqOi","rap","trap",0.677,0.558,8,-7.681,1,0.177,0.167,0,0.365,0.384,144.485,200426
