"","rbd","media_mate","median_mate","media_leng","median_leng","porc_fem","nom_rbd","latitud","longitud","cod_com_rbd","nom_com_rbd","pago_matricula"
"1",8485,343.711763077784,348.5,297.0809284268,302.720001220703,0,"LICEO INSTITUTO NACIONAL",-33.4448709,-70.65030401,13101,"SANTIAGO","GRATUITO"
"2",8487,312.222115211925,320.109985351562,271.90346394007,276.829986572266,100,"LICEO JAVIERA CARRERA",-33.43921052,-70.65729306,13101,"SANTIAGO","GRATUITO"
"3",8488,227.292083740234,223.504997253418,231.555143192836,224.055000305176,99.625468164794,"LICEO N° 4 BICENTENARIO ISAURA DINATOR",-33.44560481,-70.67929193,13101,"SANTIAGO","GRATUITO"
"4",8489,235.136203553942,235.849998474121,238.65999947607,239.160003662109,100,"LICEO BICENTENARIO TERESA PRATS",-33.47070985,-70.64581436,13101,"SANTIAGO","GRATUITO"
"5",8490,236.374736183568,231.389999389648,234.862799682617,229.919998168945,44.0909090909091,"LICEO NRO 2 MIGUEL LUIS AMUNATEGUI",-33.44366876,-70.67585032,13101,"SANTIAGO","GRATUITO"
"6",8491,285.290263487561,293.230010986328,234.69575151431,234,0,"LICEO DE APLICACION RECTOR JORGE E SCHNE",-33.44093916,-70.66271986,13101,"SANTIAGO","GRATUITO"
"7",8492,277.882726694082,287.620010375977,261.833715799693,268.074996948242,0,"LICEO MANUEL BARROS BORGONO",-33.46696349,-70.64888825,13101,"SANTIAGO","GRATUITO"
"8",8494,199.997639973958,200.959999084473,208.589875793457,204.470001220703,36.231884057971,"LICEO A-1 VALENTIN LETELIER",-33.42673966,-70.64545088,13127,"RECOLETA","GRATUITO"
"9",8496,217.702654957771,218.854995727539,215.168461491511,203.649993896484,47.3684210526316,"LICEO JOSÉ DE SAN MARTIN",-33.45613414,-70.65322898,13101,"SANTIAGO","GRATUITO"
"10",8497,204.422682413241,201.809997558594,196.005365511266,196.75,44.8275862068966,"LICEO GABRIELA MISTRAL",-33.4160467,-70.65675624,13108,"INDEPENDENCIA","GRATUITO"
"11",8498,223.889180542993,224.580001831055,207.449354110226,203.709999084473,43.4343434343434,"LICEO DARIO SALAS",-33.455643,-70.66915552,13101,"SANTIAGO","GRATUITO"
"12",8499,283.478085051192,285.565002441406,247.080506847751,249.119995117188,0,"INTERNADO NACIONAL BARROS ARANA",-33.4388735,-70.68307302,13101,"SANTIAGO","GRATUITO"
